Country,Operator,License-Block,Asset,Start-up Year,Contract Expiry Date,Commerciality,[Data Values],Sum
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","SC 38 (PL), PH",2058,,Commercial,Discovered Resources,
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","SC 38 (PL), PH",2058,,Commercial,Production,
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","SC 38 (PL), PH",2058,,Uncertain,Original Gas In Place,0
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","SC 38 (PL), PH",2058,,Uncertain,Field recovery factor,
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","SC 38 (PL), PH",2058,,Uncertain,Technical recoverable resources,
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","SC 38 (PL), PH",2058,,Uncertain,2P Reserves,
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","SC 38 (PL), PH",2058,,Uncertain,Discovered Resources,
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","SC 38 (PL), PH",2058,,Uncertain,Production,
Philippines,Prime Exploration Pte. Ltd,"SC 38 (PL), PH","Malampaya Phase 4, PH",2026,,Commercial,Original Gas In Place,23.04653
Philippines,Prime Exploration Pte. Ltd,"SC 38 (PL), PH","Malampaya Phase 4, PH",2026,,Commercial,Field recovery factor,50
Philippines,Prime Exploration Pte. Ltd,"SC 38 (PL), PH","Malampaya Phase 4, PH",2026,,Commercial,Technical recoverable resources,72.49
Philippines,Prime Exploration Pte. Ltd,"SC 38 (PL), PH","Malampaya Phase 4, PH",2026,,Commercial,2P Reserves,72.488
Philippines,Prime Exploration Pte. Ltd,"SC 38 (PL), PH","Malampaya Phase 4, PH",2026,,Commercial,Discovered Resources,
Philippines,Prime Exploration Pte. Ltd,"SC 38 (PL), PH","Malampaya Phase 4, PH",2026,,Commercial,Production,0
Philippines,Prime Exploration Pte. Ltd,"SC 38 (PL), PH","Malampaya Phase 4, PH",2026,,Uncertain,Original Gas In Place,23.04653
Philippines,Prime Exploration Pte. Ltd,"SC 38 (PL), PH","Malampaya Phase 4, PH",2026,,Uncertain,Field recovery factor,50
Philippines,Prime Exploration Pte. Ltd,"SC 38 (PL), PH","Malampaya Phase 4, PH",2026,,Uncertain,Technical recoverable resources,
Philippines,Prime Exploration Pte. Ltd,"SC 38 (PL), PH","Malampaya Phase 4, PH",2026,,Uncertain,2P Reserves,
Philippines,Prime Exploration Pte. Ltd,"SC 38 (PL), PH","Malampaya Phase 4, PH",2026,,Uncertain,Discovered Resources,
Philippines,Prime Exploration Pte. Ltd,"SC 38 (PL), PH","Malampaya Phase 4, PH",2026,,Uncertain,Production,
Philippines,Relinquished,"SC 14A Nido, PH","Nido (A & B), PH",1979,2025-12-17,Commercial,Original Gas In Place,0
Philippines,Relinquished,"SC 14A Nido, PH","Nido (A & B), PH",1979,2025-12-17,Commercial,Field recovery factor,15
Philippines,Relinquished,"SC 14A Nido, PH","Nido (A & B), PH",1979,2025-12-17,Commercial,Technical recoverable resources,
Philippines,Relinquished,"SC 14A Nido, PH","Nido (A & B), PH",1979,2025-12-17,Commercial,2P Reserves,
Philippines,Relinquished,"SC 14A Nido, PH","Nido (A & B), PH",1979,2025-12-17,Commercial,Discovered Resources,
Philippines,Relinquished,"SC 14A Nido, PH","Nido (A & B), PH",1979,2025-12-17,Commercial,Production,
Philippines,Relinquished,"SC 14A Nido, PH","Nido (A & B), PH",1979,2025-12-17,Uncertain,Original Gas In Place,0
Philippines,Relinquished,"SC 14A Nido, PH","Nido (A & B), PH",1979,2025-12-17,Uncertain,Field recovery factor,15
Philippines,Relinquished,"SC 14A Nido, PH","Nido (A & B), PH",1979,2025-12-17,Uncertain,Technical recoverable resources,
Philippines,Relinquished,"SC 14A Nido, PH","Nido (A & B), PH",1979,2025-12-17,Uncertain,2P Reserves,
Philippines,Relinquished,"SC 14A Nido, PH","Nido (A & B), PH",1979,2025-12-17,Uncertain,Discovered Resources,
Philippines,Relinquished,"SC 14A Nido, PH","Nido (A & B), PH",1979,2025-12-17,Uncertain,Production,
Philippines,Relinquished,"SC 14A Nido, PH","SC 14A Nido, PH",2056,,Commercial,Original Gas In Place,0
Philippines,Relinquished,"SC 14A Nido, PH","SC 14A Nido, PH",2056,,Commercial,Field recovery factor,
Philippines,Relinquished,"SC 14A Nido, PH","SC 14A Nido, PH",2056,,Commercial,Technical recoverable resources,
Philippines,Relinquished,"SC 14A Nido, PH","SC 14A Nido, PH",2056,,Commercial,2P Reserves,
