Country,Operator,License-Block,Asset,Start-up Year,Contract Expiry Date,Breakeven Oil Price,Breakeven Gas Price,Internal Rate Of Return,Payback Years,Fiscal Regime Group,Commerciality,[Data Values],Sum
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","San Martin, PH",2032,2039-02-23,85.3,9.3,Below 0%,9,PSC,Uncommercial disregarded,Development cost pr boe,
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","San Martin, PH",2032,2039-02-23,85.3,9.3,Below 0%,9,PSC,Uncommercial disregarded,Economics Present Value,-798.2831
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","Malampaya-Camago, PH",2001,2039-02-23,29.3,5.23,19,8,PSC,Commercial,FID Breakeven Oil Price,21
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","Malampaya-Camago, PH",2001,2039-02-23,29.3,5.23,19,8,PSC,Commercial,Breakeven Oil Price,29.3
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","Malampaya-Camago, PH",2001,2039-02-23,29.3,5.23,19,8,PSC,Commercial,Breakeven Oil Price-15,32.19737
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","Malampaya-Camago, PH",2001,2039-02-23,29.3,5.23,19,8,PSC,Commercial,Breakeven Oil Price-20,34.45119
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","Malampaya-Camago, PH",2001,2039-02-23,29.3,5.23,19,8,PSC,Commercial,FID Breakeven Gas Price,3.3
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","Malampaya-Camago, PH",2001,2039-02-23,29.3,5.23,19,8,PSC,Commercial,Breakeven Gas Price,5.23
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","Malampaya-Camago, PH",2001,2039-02-23,29.3,5.23,19,8,PSC,Commercial,Breakeven Gas Price-15,5.751864
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","Malampaya-Camago, PH",2001,2039-02-23,29.3,5.23,19,8,PSC,Commercial,Breakeven Gas Price-20,6.154495
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","Malampaya-Camago, PH",2001,2039-02-23,29.3,5.23,19,8,PSC,Commercial,Development cost pr boe,4.203709
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","Malampaya-Camago, PH",2001,2039-02-23,29.3,5.23,19,8,PSC,Commercial,Economics Present Value,1509.935
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","Malampaya Phase 2/3, PH",2014,2039-02-23,20.3,3.59,26,7,PSC,Commercial,FID Breakeven Oil Price,24.9
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","Malampaya Phase 2/3, PH",2014,2039-02-23,20.3,3.59,26,7,PSC,Commercial,Breakeven Oil Price,20.3
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","Malampaya Phase 2/3, PH",2014,2039-02-23,20.3,3.59,26,7,PSC,Commercial,Breakeven Oil Price-15,22.29821
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","Malampaya Phase 2/3, PH",2014,2039-02-23,20.3,3.59,26,7,PSC,Commercial,Breakeven Oil Price-20,23.85908
