Country,Operator,License-Block,Asset,Start-up Year,Contract Expiry Date,Commerciality,[Data Values],Sum
Vietnam,Other liquids,,"Other liquids, VN",2009,,Commercial,Production,2.651781
Vietnam,Other liquids,,"Other liquids, VN",2009,,Uncertain,Original Gas In Place,0
Vietnam,Other liquids,,"Other liquids, VN",2009,,Uncertain,Field recovery factor,
Vietnam,Other liquids,,"Other liquids, VN",2009,,Uncertain,Technical recoverable resources,
Vietnam,Other liquids,,"Other liquids, VN",2009,,Uncertain,2P Reserves,
Vietnam,Other liquids,,"Other liquids, VN",2009,,Uncertain,Discovered Resources,
Vietnam,Other liquids,,"Other liquids, VN",2009,,Uncertain,Production,
Vietnam,Refinery Gains,,"Refinery gains, VN",1988,,Commercial,Original Gas In Place,0
Vietnam,Refinery Gains,,"Refinery gains, VN",1988,,Commercial,Field recovery factor,
Vietnam,Refinery Gains,,"Refinery gains, VN",1988,,Commercial,Technical recoverable resources,
Vietnam,Refinery Gains,,"Refinery gains, VN",1988,,Commercial,2P Reserves,
Vietnam,Refinery Gains,,"Refinery gains, VN",1988,,Commercial,Discovered Resources,
Vietnam,Refinery Gains,,"Refinery gains, VN",1988,,Commercial,Production,12.39151
Vietnam,Refinery Gains,,"Refinery gains, VN",1988,,Uncertain,Original Gas In Place,0
Vietnam,Refinery Gains,,"Refinery gains, VN",1988,,Uncertain,Field recovery factor,
Vietnam,Refinery Gains,,"Refinery gains, VN",1988,,Uncertain,Technical recoverable resources,
Vietnam,Refinery Gains,,"Refinery gains, VN",1988,,Uncertain,2P Reserves,
Vietnam,Refinery Gains,,"Refinery gains, VN",1988,,Uncertain,Discovered Resources,
Vietnam,Refinery Gains,,"Refinery gains, VN",1988,,Uncertain,Production,
Vietnam,Petronas,"Block 102/106, VN","Yen Tu, VN",2046,2025-01-27,Commercial,Original Gas In Place,0
Vietnam,Petronas,"Block 102/106, VN","Yen Tu, VN",2046,2025-01-27,Commercial,Field recovery factor,28
Vietnam,Petronas,"Block 102/106, VN","Yen Tu, VN",2046,2025-01-27,Commercial,Technical recoverable resources,
Vietnam,Petronas,"Block 102/106, VN","Yen Tu, VN",2046,2025-01-27,Commercial,2P Reserves,
Vietnam,Petronas,"Block 102/106, VN","Yen Tu, VN",2046,2025-01-27,Commercial,Discovered Resources,
Vietnam,Petronas,"Block 102/106, VN","Yen Tu, VN",2046,2025-01-27,Commercial,Production,
Vietnam,Petronas,"Block 102/106, VN","Yen Tu, VN",2046,2025-01-27,Uncertain,Original Gas In Place,0
Vietnam,Petronas,"Block 102/106, VN","Yen Tu, VN",2046,2025-01-27,Uncertain,Field recovery factor,28
Vietnam,Petronas,"Block 102/106, VN","Yen Tu, VN",2046,2025-01-27,Uncertain,Technical recoverable resources,
Vietnam,Petronas,"Block 102/106, VN","Yen Tu, VN",2046,2025-01-27,Uncertain,2P Reserves,
Vietnam,Petronas,"Block 102/106, VN","Yen Tu, VN",2046,2025-01-27,Uncertain,Discovered Resources,
Vietnam,Petronas,"Block 102/106, VN","Yen Tu, VN",2046,2025-01-27,Uncertain,Production,
Vietnam,Petronas,"Block 102/106, VN","Thai Binh, VN",2015,2030-01-27,Commercial,Original Gas In Place,3.808871
Vietnam,Petronas,"Block 102/106, VN","Thai Binh, VN",2015,2030-01-27,Commercial,Field recovery factor,50
Vietnam,Petronas,"Block 102/106, VN","Thai Binh, VN",2015,2030-01-27,Commercial,Technical recoverable resources,3.6752
Vietnam,Petronas,"Block 102/106, VN","Thai Binh, VN",2015,2030-01-27,Commercial,2P Reserves,3.6752
Vietnam,Petronas,"Block 102/106, VN","Thai Binh, VN",2015,2030-01-27,Commercial,Discovered Resources,
Vietnam,Petronas,"Block 102/106, VN","Thai Binh, VN",2015,2030-01-27,Commercial,Production,1.667123
Vietnam,Petronas,"Block 102/106, VN","Thai Binh, VN",2015,2030-01-27,Uncertain,Original Gas In Place,3.808871
Vietnam,Petronas,"Block 102/106, VN","Thai Binh, VN",2015,2030-01-27,Uncertain,Field recovery factor,50
Vietnam,Petronas,"Block 102/106, VN","Thai Binh, VN",2015,2030-01-27,Uncertain,Technical recoverable resources,
Vietnam,Petronas,"Block 102/106, VN","Thai Binh, VN",2015,2030-01-27,Uncertain,2P Reserves,
Vietnam,Petronas,"Block 102/106, VN","Thai Binh, VN",2015,2030-01-27,Uncertain,Discovered Resources,
Vietnam,Petronas,"Block 102/106, VN","Thai Binh, VN",2015,2030-01-27,Uncertain,Production,
Vietnam,Petronas,"Block 102/106, VN","Ham Rong, VN",2041,2025-01-27,Commercial,Original Gas In Place,2.625525
Vietnam,Petronas,"Block 102/106, VN","Ham Rong, VN",2041,2025-01-27,Commercial,Field recovery factor,30
Vietnam,Petronas,"Block 102/106, VN","Ham Rong, VN",2041,2025-01-27,Commercial,Technical recoverable resources,
Vietnam,Petronas,"Block 102/106, VN","Ham Rong, VN",2041,2025-01-27,Commercial,2P Reserves,
Vietnam,Petronas,"Block 102/106, VN","Ham Rong, VN",2041,2025-01-27,Commercial,Discovered Resources,
Vietnam,Petronas,"Block 102/106, VN","Ham Rong, VN",2041,2025-01-27,Commercial,Production,
Vietnam,Petronas,"Block 102/106, VN","Ham Rong, VN",2041,2025-01-27,Uncertain,Original Gas In Place,2.625525
Vietnam,Petronas,"Block 102/106, VN","Ham Rong, VN",2041,2025-01-27,Uncertain,Field recovery factor,30
Vietnam,Petronas,"Block 102/106, VN","Ham Rong, VN",2041,2025-01-27,Uncertain,Technical recoverable resources,
Vietnam,Petronas,"Block 102/106, VN","Ham Rong, VN",2041,2025-01-27,Uncertain,2P Reserves,
