Country,Operator,License-Block,Asset,Start-up Year,Contract Expiry Date,Commerciality,[Data Values],Sum
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Samudra North, TA",2041,2029-04-20,Uncertain,2P Reserves,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Samudra North, TA",2041,2029-04-20,Uncertain,Discovered Resources,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Samudra North, TA",2041,2029-04-20,Uncertain,Production,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","MTJDA Block A-18, TA",2040,,Commercial,Original Gas In Place,0
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","MTJDA Block A-18, TA",2040,,Commercial,Field recovery factor,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","MTJDA Block A-18, TA",2040,,Commercial,Technical recoverable resources,3.6938
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","MTJDA Block A-18, TA",2040,,Commercial,2P Reserves,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","MTJDA Block A-18, TA",2040,,Commercial,Discovered Resources,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","MTJDA Block A-18, TA",2040,,Commercial,Production,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","MTJDA Block A-18, TA",2040,,Uncertain,Original Gas In Place,0
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","MTJDA Block A-18, TA",2040,,Uncertain,Field recovery factor,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","MTJDA Block A-18, TA",2040,,Uncertain,Technical recoverable resources,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","MTJDA Block A-18, TA",2040,,Uncertain,2P Reserves,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","MTJDA Block A-18, TA",2040,,Uncertain,Discovered Resources,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","MTJDA Block A-18, TA",2040,,Uncertain,Production,
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Muda, TA",2010,2039-04-20,Commercial,Original Gas In Place,75.94633
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Muda, TA",2010,2039-04-20,Commercial,Field recovery factor,46
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Muda, TA",2010,2039-04-20,Commercial,Technical recoverable resources,59.25159
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Muda, TA",2010,2039-04-20,Commercial,2P Reserves,57.146
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Muda, TA",2010,2039-04-20,Commercial,Discovered Resources,
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Muda, TA",2010,2039-04-20,Commercial,Production,41.15507
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Muda, TA",2010,2039-04-20,Uncertain,Original Gas In Place,75.94633
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Muda, TA",2010,2039-04-20,Uncertain,Field recovery factor,46
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Muda, TA",2010,2039-04-20,Uncertain,Technical recoverable resources,
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Muda, TA",2010,2039-04-20,Uncertain,2P Reserves,
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Muda, TA",2010,2039-04-20,Uncertain,Discovered Resources,
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Muda, TA",2010,2039-04-20,Uncertain,Production,
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Tapi, TA",2016,2039-04-20,Commercial,Original Gas In Place,5.617606
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Tapi, TA",2016,2039-04-20,Commercial,Field recovery factor,45
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Tapi, TA",2016,2039-04-20,Commercial,Technical recoverable resources,8.364599
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Tapi, TA",2016,2039-04-20,Commercial,2P Reserves,7.5632
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Tapi, TA",2016,2039-04-20,Commercial,Discovered Resources,
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Tapi, TA",2016,2039-04-20,Commercial,Production,5.281645
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Tapi, TA",2016,2039-04-20,Uncertain,Original Gas In Place,5.617606
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Tapi, TA",2016,2039-04-20,Uncertain,Field recovery factor,45
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Tapi, TA",2016,2039-04-20,Uncertain,Technical recoverable resources,
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Tapi, TA",2016,2039-04-20,Uncertain,2P Reserves,
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Tapi, TA",2016,2039-04-20,Uncertain,Discovered Resources,
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Tapi, TA",2016,2039-04-20,Uncertain,Production,
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Jengka, TA",2010,2039-04-20,Commercial,Original Gas In Place,15.85449
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Jengka, TA",2010,2039-04-20,Commercial,Field recovery factor,44
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Jengka, TA",2010,2039-04-20,Commercial,Technical recoverable resources,7.6972
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Jengka, TA",2010,2039-04-20,Commercial,2P Reserves,7.8226
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Jengka, TA",2010,2039-04-20,Commercial,Discovered Resources,
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Jengka, TA",2010,2039-04-20,Commercial,Production,7.591783
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Jengka, TA",2010,2039-04-20,Uncertain,Original Gas In Place,15.85449
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Jengka, TA",2010,2039-04-20,Uncertain,Field recovery factor,44
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Jengka, TA",2010,2039-04-20,Uncertain,Technical recoverable resources,
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Jengka, TA",2010,2039-04-20,Uncertain,2P Reserves,
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Jengka, TA",2010,2039-04-20,Uncertain,Discovered Resources,
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Jengka, TA",2010,2039-04-20,Uncertain,Production,
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Amarit, TA",2017,2039-04-20,Commercial,Original Gas In Place,5.867823
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Amarit, TA",2017,2039-04-20,Commercial,Field recovery factor,47
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Amarit, TA",2017,2039-04-20,Commercial,Technical recoverable resources,5.868
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Amarit, TA",2017,2039-04-20,Commercial,2P Reserves,5.439
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Amarit, TA",2017,2039-04-20,Commercial,Discovered Resources,
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Amarit, TA",2017,2039-04-20,Commercial,Production,4.06137
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Amarit, TA",2017,2039-04-20,Uncertain,Original Gas In Place,5.867823
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Amarit, TA",2017,2039-04-20,Uncertain,Field recovery factor,47
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Amarit, TA",2017,2039-04-20,Uncertain,Technical recoverable resources,
Malaysia/Thailand JDA,Carigali-PTTEPI Operating Company (CPOC),"Block B17-01(ex. B-17&C-19) , TA","Amarit, TA",2017,2039-04-20,Uncertain,2P Reserves,
